accuracy,precision,recall,f1,roc_auc,feature,model,fold,n_valid
0.9428571428571428,1.0,0.8787878787878788,0.9354838709677419,0.9983619983619985,tfidf,logistic_regression,1,70
0.9714285714285714,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9975429975429976,tfidf,logistic_regression,2,70
0.9571428571428572,1.0,0.9090909090909091,0.9523809523809523,0.9975429975429976,tfidf,logistic_regression,3,70
0.9571428571428572,0.96875,0.9393939393939394,0.9538461538461539,0.995085995085995,tfidf,logistic_regression,4,70
0.9714285714285714,1.0,0.9393939393939394,0.96875,1.0,tfidf,logistic_regression,5,70
0.9857142857142858,0.9705882352941176,1.0,0.9850746268656716,0.9991809991809992,tfidf,logistic_regression,6,70
0.9714285714285714,0.96875,0.96875,0.96875,0.9909539473684211,tfidf,logistic_regression,7,70
0.9710144927536232,1.0,0.9375,0.967741935483871,1.0,tfidf,logistic_regression,8,69
0.9420289855072463,0.9666666666666667,0.90625,0.9354838709677419,0.9797297297297298,tfidf,logistic_regression,9,69
0.9855072463768116,1.0,0.96875,0.9841269841269841,1.0,tfidf,logistic_regression,10,69
0.9857142857142858,1.0,0.9696969696969697,0.9846153846153847,1.0,tfidf,linear_svm,1,70
0.9714285714285714,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9975429975429976,tfidf,linear_svm,2,70
0.9571428571428572,1.0,0.9090909090909091,0.9523809523809523,0.9926289926289926,tfidf,linear_svm,3,70
0.9714285714285714,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9967239967239967,tfidf,linear_svm,4,70
0.9857142857142858,1.0,0.9696969696969697,0.9846153846153847,1.0,tfidf,linear_svm,5,70
0.9714285714285714,0.9428571428571428,1.0,0.9705882352941176,0.9975429975429976,tfidf,linear_svm,6,70
0.9857142857142858,0.9696969696969697,1.0,0.9846153846153847,0.9925986842105263,tfidf,linear_svm,7,70
0.9855072463768116,1.0,0.96875,0.9841269841269841,1.0,tfidf,linear_svm,8,69
0.9420289855072463,0.9375,0.9375,0.9375,0.9890202702702703,tfidf,linear_svm,9,69
0.9855072463768116,1.0,0.96875,0.9841269841269841,1.0,tfidf,linear_svm,10,69
0.8857142857142857,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.9737919737919738,tfidf,random_forest,1,70
0.9571428571428572,0.96875,0.9393939393939394,0.9538461538461539,0.9877149877149878,tfidf,random_forest,2,70
0.9285714285714286,0.9375,0.9090909090909091,0.9230769230769231,0.9893529893529893,tfidf,random_forest,3,70
0.9428571428571428,0.9393939393939394,0.9393939393939394,0.9393939393939394,0.9737919737919738,tfidf,random_forest,4,70
0.9571428571428572,0.96875,0.9393939393939394,0.9538461538461539,0.9967239967239967,tfidf,random_forest,5,70
0.9428571428571428,0.8918918918918919,1.0,0.9428571428571428,0.9983619983619983,tfidf,random_forest,6,70
0.9714285714285714,0.9411764705882353,1.0,0.9696969696969697,0.986842105263158,tfidf,random_forest,7,70
0.9565217391304348,0.967741935483871,0.9375,0.9523809523809523,0.9923986486486487,tfidf,random_forest,8,69
0.927536231884058,0.9090909090909091,0.9375,0.9230769230769231,0.9763513513513513,tfidf,random_forest,9,69
0.9420289855072463,0.9666666666666667,0.90625,0.9354838709677419,0.9940878378378378,tfidf,random_forest,10,69
0.8714285714285714,0.875,0.8484848484848485,0.8615384615384616,0.9770679770679771,tfidf,extra_trees,1,70
0.9571428571428572,0.9411764705882353,0.9696969696969697,0.9552238805970149,0.9942669942669943,tfidf,extra_trees,2,70
0.9285714285714286,0.9375,0.9090909090909091,0.9230769230769231,0.9885339885339884,tfidf,extra_trees,3,70
0.9714285714285714,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9868959868959868,tfidf,extra_trees,4,70
0.9285714285714286,1.0,0.8484848484848485,0.9180327868852459,0.9959049959049959,tfidf,extra_trees,5,70
0.9571428571428572,0.9166666666666666,1.0,0.9565217391304348,0.9918099918099919,tfidf,extra_trees,6,70
0.9714285714285714,0.96875,0.96875,0.96875,0.9942434210526315,tfidf,extra_trees,7,70
0.9710144927536232,1.0,0.9375,0.967741935483871,0.9991554054054055,tfidf,extra_trees,8,69
0.927536231884058,0.9354838709677419,0.90625,0.9206349206349206,0.9864864864864865,tfidf,extra_trees,9,69
0.9420289855072463,0.9666666666666667,0.90625,0.9354838709677419,0.9957770270270271,tfidf,extra_trees,10,69
0.9,0.8823529411764706,0.9090909090909091,0.8955223880597015,0.9680589680589681,tfidf,gradient_boosting,1,70
0.9714285714285714,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9942669942669943,tfidf,gradient_boosting,2,70
0.9,0.9333333333333333,0.8484848484848485,0.8888888888888888,0.984029484029484,tfidf,gradient_boosting,3,70
0.9,0.8823529411764706,0.9090909090909091,0.8955223880597015,0.9623259623259622,tfidf,gradient_boosting,4,70
0.9285714285714286,0.9375,0.9090909090909091,0.9230769230769231,0.9893529893529893,tfidf,gradient_boosting,5,70
0.9285714285714286,0.9117647058823529,0.9393939393939394,0.9253731343283582,0.9881244881244882,tfidf,gradient_boosting,6,70
0.9428571428571428,0.9375,0.9375,0.9375,0.9736842105263157,tfidf,gradient_boosting,7,70
0.9420289855072463,0.9375,0.9375,0.9375,0.9788851351351351,tfidf,gradient_boosting,8,69
0.855072463768116,0.8666666666666667,0.8125,0.8387096774193549,0.9493243243243243,tfidf,gradient_boosting,9,69
0.9130434782608695,0.9333333333333333,0.875,0.9032258064516129,0.9881756756756755,tfidf,gradient_boosting,10,69
0.9142857142857143,0.9655172413793104,0.8484848484848485,0.9032258064516129,0.986895986895987,word2vec,logistic_regression,1,70
0.9714285714285714,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9983619983619985,word2vec,logistic_regression,2,70
0.9571428571428572,1.0,0.9090909090909091,0.9523809523809523,0.9967239967239967,word2vec,logistic_regression,3,70
0.9714285714285714,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9959049959049959,word2vec,logistic_regression,4,70
0.9571428571428572,1.0,0.9090909090909091,0.9523809523809523,0.9975429975429976,word2vec,logistic_regression,5,70
0.9714285714285714,0.9428571428571428,1.0,0.9705882352941176,0.9959049959049959,word2vec,logistic_regression,6,70
0.9714285714285714,0.96875,0.96875,0.96875,0.9983552631578948,word2vec,logistic_regression,7,70
0.9855072463768116,1.0,0.96875,0.9841269841269841,1.0,word2vec,logistic_regression,8,69
0.9710144927536232,1.0,0.9375,0.967741935483871,0.9898648648648648,word2vec,logistic_regression,9,69
0.9855072463768116,1.0,0.96875,0.9841269841269841,0.9991554054054055,word2vec,logistic_regression,10,69
0.9285714285714286,1.0,0.8484848484848485,0.9180327868852459,0.9885339885339886,word2vec,linear_svm,1,70
0.9571428571428572,0.9411764705882353,0.9696969696969697,0.9552238805970149,0.9967239967239967,word2vec,linear_svm,2,70
0.9857142857142858,1.0,0.9696969696969697,0.9846153846153847,0.9950859950859952,word2vec,linear_svm,3,70
0.9571428571428572,0.9411764705882353,0.9696969696969697,0.9552238805970149,0.9975429975429976,word2vec,linear_svm,4,70
0.9571428571428572,1.0,0.9090909090909091,0.9523809523809523,1.0,word2vec,linear_svm,5,70
0.9571428571428572,0.9166666666666666,1.0,0.9565217391304348,0.9967239967239968,word2vec,linear_svm,6,70
0.9714285714285714,0.96875,0.96875,0.96875,0.9983552631578948,word2vec,linear_svm,7,70
1.0,1.0,1.0,1.0,1.0,word2vec,linear_svm,8,69
0.9420289855072463,0.9666666666666667,0.90625,0.9354838709677419,0.9890202702702702,word2vec,linear_svm,9,69
1.0,1.0,1.0,1.0,1.0,word2vec,linear_svm,10,69
0.9428571428571428,1.0,0.8787878787878788,0.9354838709677419,0.9885339885339886,word2vec,random_forest,1,70
0.9714285714285714,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9983619983619985,word2vec,random_forest,2,70
0.9714285714285714,1.0,0.9393939393939394,0.96875,0.9959049959049959,word2vec,random_forest,3,70
0.9714285714285714,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9942669942669943,word2vec,random_forest,4,70
0.9428571428571428,1.0,0.8787878787878788,0.9354838709677419,0.9983619983619983,word2vec,random_forest,5,70
0.9571428571428572,0.9166666666666666,1.0,0.9565217391304348,0.9991809991809992,word2vec,random_forest,6,70
0.9714285714285714,0.96875,0.96875,0.96875,0.9975328947368421,word2vec,random_forest,7,70
0.9710144927536232,1.0,0.9375,0.967741935483871,1.0,word2vec,random_forest,8,69
0.9565217391304348,1.0,0.90625,0.9508196721311475,0.9788851351351351,word2vec,random_forest,9,69
0.9710144927536232,1.0,0.9375,0.967741935483871,1.0,word2vec,random_forest,10,69
0.9428571428571428,1.0,0.8787878787878788,0.9354838709677419,0.9901719901719902,word2vec,extra_trees,1,70
0.9857142857142858,0.9705882352941176,1.0,0.9850746268656716,0.9983619983619985,word2vec,extra_trees,2,70
0.9857142857142858,1.0,0.9696969696969697,0.9846153846153847,0.9967239967239967,word2vec,extra_trees,3,70
0.9714285714285714,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.995085995085995,word2vec,extra_trees,4,70
0.9571428571428572,1.0,0.9090909090909091,0.9523809523809523,1.0,word2vec,extra_trees,5,70
0.9714285714285714,0.9428571428571428,1.0,0.9705882352941176,0.9983619983619985,word2vec,extra_trees,6,70
0.9714285714285714,0.96875,0.96875,0.96875,0.9991776315789473,word2vec,extra_trees,7,70
0.9710144927536232,1.0,0.9375,0.967741935483871,1.0,word2vec,extra_trees,8,69
0.9565217391304348,1.0,0.90625,0.9508196721311475,0.9847972972972973,word2vec,extra_trees,9,69
0.9855072463768116,1.0,0.96875,0.9841269841269841,0.9991554054054055,word2vec,extra_trees,10,69
0.9571428571428572,1.0,0.9090909090909091,0.9523809523809523,0.9877149877149878,word2vec,gradient_boosting,1,70
0.9714285714285714,0.9428571428571428,1.0,0.9705882352941176,0.9959049959049959,word2vec,gradient_boosting,2,70
0.9714285714285714,1.0,0.9393939393939394,0.96875,0.9959049959049959,word2vec,gradient_boosting,3,70
0.9714285714285714,0.9428571428571428,1.0,0.9705882352941176,0.9926289926289926,word2vec,gradient_boosting,4,70
0.9428571428571428,1.0,0.8787878787878788,0.9354838709677419,0.9991809991809992,word2vec,gradient_boosting,5,70
0.9428571428571428,0.8918918918918919,1.0,0.9428571428571428,0.9885339885339886,word2vec,gradient_boosting,6,70
0.9857142857142858,0.9696969696969697,1.0,0.9846153846153847,0.9950657894736842,word2vec,gradient_boosting,7,70
0.9710144927536232,1.0,0.9375,0.967741935483871,1.0,word2vec,gradient_boosting,8,69
0.9420289855072463,0.9666666666666667,0.90625,0.9354838709677419,0.9881756756756757,word2vec,gradient_boosting,9,69
0.9855072463768116,1.0,0.96875,0.9841269841269841,1.0,word2vec,gradient_boosting,10,69
