text,label,label_name,kategori,stars,source_column
"Tempat sepi, matcha strong dan tidak terlalu manis.",1,Positif,"Tempat, Rasa",5.0,perbaikan
Matchanya sangat enak.,1,Positif,Rasa,5.0,perbaikan
"Matcha sangat autentik dan berkualitas tinggi, tetapi cukup mahal. Cocok untuk yang suka rasa pahit, perlu tambahan gula jika suka manis.",1,Positif,"Rasa, Harga",4.0,perbaikan
"Matcha Opera-nya wajib untuk dipesan. Rasa Matcha Milk-nya tergolong biasa saja. Tadi saya memesan takaran susu less (80/120) dengan tingkat gula dan green tea yang normal, namun hasilnya justru tidak terlalu manis. Saya pasti akan kembali membeli menu Matcha Opera-nya.",1,Positif,Rasa,4.0,perbaikan
"Saya mencoba mixed soft ice cream (matcha-hokkaido milk) dan hojicha mocktail. Mixed Ice Cream: Tingkat kemanisan: Sudah cukup baik. Rasa matcha: Terasa pas. Hokkaido milk: Perasanya terlalu kuat sehingga sangat mendominasi dan mengganggu kelezatan rasa matcha-nya. Hal ini membuat perpaduan rasanya menjadi tidak seimbang. Hojicha Mocktail: Sesapan pertama terasa enak. Aroma mawar dan lavendernya memiliki keseimbangan yang baik. Namun, setelah beberapa sesapan berikutnya, saya merasa kurang nyaman karena penggunaan sirup yang terlalu banyak. (Saya cukup sensitif terhadap perasa buatan, sehingga sering kali muncul reaksi tertentu setelah meminumnya beberapa kali).",1,Positif,Rasa,4.0,perbaikan
"Suasananya sangat nyaman, para pecinta matcha wajib mencobanya!",1,Positif,Tempat,5.0,perbaikan
"Warabi mochi-nya sangat luar biasa. Begitu pula dengan Signature Koicha Milk, rasanya sangat berkualitas. Saya juga mendapatkan es krim secara gratis. Terima kasih kepada Kak Desi atas pelayanannya yang sangat ramah.",1,Positif,"Rasa, Pelayanan",5.0,perbaikan
Wajib dicoba!,1,Positif,Umum,5.0,perbaikan
"Pilihannya sangat beragam, staf sangat membantu, dan suasananya pun sangat nyaman.",1,Positif,"Rasa, Pelayanan, Tempat",5.0,perbaikan
Terima kasih kepada Hamny atas pelayanannya dan informasi mengenai matcha.,1,Positif,Pelayanan,5.0,perbaikan
"Tempatnya sangat nyaman, Anda harus mencoba matcha mereka!",1,Positif,"Tempat, Rasa",5.0,perbaikan
Tempatnya nyaman dan makanannya berkualitas baik.,1,Positif,"Tempat, Rasa",5.0,perbaikan
"Tempatnya nyaman, begitu pula dengan matcha-nya. Perpaduan yang sangat pas.",1,Positif,"Tempat, Rasa",5.0,perbaikan
Suasananya sangat nyaman.,1,Positif,Tempat,5.0,perbaikan
Suasananya sangat nyaman dan matcha-nya lezat.,1,Positif,"Tempat, Rasa",5.0,perbaikan
Tempatnya memungkinkan pelanggan untuk menonton konser; minumannya asli dan enak.,1,Positif,"Tempat, Rasa",5.0,perbaikan
Tempatnya sangat bagus dan nyaman.,1,Positif,Tempat,4.0,perbaikan
"Tempat ini merupakan surga bagi para pecinta matcha dan wajib untuk dicoba. Semua menunya lezat dan tidak ada yang mengecewakan. Pelayanannya sangat ramah, terutama saudara Hamny yang memberikan rekomendasi menu yang sangat sesuai dengan selera saya. Terima kasih.",1,Positif,"Rasa, Pelayanan",5.0,perbaikan
Tempat yang sangat bagus untuk menikmati matcha! Tersedia banyak variasi matcha untuk makanan dan minuman. Rasa mochi-nya sangat unik!,1,Positif,Rasa,5.0,perbaikan
"Salah satu dari sedikit tempat di Jakarta di mana Anda bisa mendapatkan hidangan penutup dan minuman matcha yang berkualitas. Saya mencoba soft serve dan warabi mochi; matcha mochi-nya sedikit lebih pahit, tetapi Anda bisa memilih untuk memesan satu jenis saja.",1,Positif,Rasa,5.0,perbaikan
Tempat matcha yang sangat bagus untuk makan dan berkumpul.,1,Positif,"Tempat, Rasa",5.0,perbaikan
Tempat yang nyaman untuk menikmati matcha.,1,Positif,Tempat,5.0,perbaikan
"Tempat terbaik untuk mendapatkan matcha premium berkualitas tinggi. Rasa matcha-nya sangat pekat, tidak terlalu manis, dan saya sangat menyukainya. Wajib dicoba bagi para pecinta matcha.",1,Positif,Rasa,5.0,perbaikan
Tempat terbaik untuk menikmati matcha di Jakarta.,1,Positif,Rasa,5.0,perbaikan
Kedai teh yang sangat baik untuk menikmati teh hijau.,1,Positif,Tempat,5.0,perbaikan
Tempatnya sangat nyaman; matcha milk menjadi favorit saya. Saya juga sudah memesan plain croissant untuk ketiga kalinya.,1,Positif,"Tempat, Rasa",5.0,perbaikan
Ini merupakan tempat berkumpul terbaik bagi anak muda di Jakarta Selatan.,1,Positif,Tempat,5.0,perbaikan
"Tempatnya sangat baik, pilihan minuman matcha beragam, begitu pula dengan makanannya. Sangat memuaskan.",1,Positif,Tempat,5.0,perbaikan
Tempatnya nyaman.,1,Positif,Tempat,5.0,perbaikan
Tempatnya nyaman dan pelayanannya sangat menyenangkan. Staf yang bertugas sangat baik serta profesional. Saya sering berkunjung ke sini.,1,Positif,"Tempat, Pelayanan",5.0,perbaikan
nan,1,Positif,Rasa,5.0,perbaikan
Suasananya nyaman dan makanannya lezat.,1,Positif,"Tempat, Rasa, Harga, Pelayanan",5.0,perbaikan
Tempat nyaman untuk WFH dan pelayanan ramah.,1,Positif,"Tempat, Pelayanan",5.0,perbaikan
Tempat nyaman untuk nongkrong.,1,Positif,Tempat,5.0,perbaikan
"Tempat nyaman untuk meeting, staf sangat profesional dan ramah.",1,Positif,"Tempat, Pelayanan",5.0,perbaikan
Tempat nyaman untuk kerja.,1,Positif,"Rasa, Pelayanan",5.0,perbaikan
"Tempat nyaman karena berada di mall. Pelayanan ramah dan cepat. Matcha milk memiliki rasa dominan matcha, tidak terlalu manis dan cukup seimbang.",1,Positif,"Tempat, Pelayanan, Rasa",4.0,perbaikan
Tempat nyaman dengan matcha enak.,1,Positif,"Tempat, Rasa",5.0,perbaikan
Tempat nyaman dan pelayanan ramah.,1,Positif,"Tempat, Pelayanan",5.0,perbaikan
Tempat nyaman dan pelayanan baik.,1,Positif,"Tempat, Pelayanan",5.0,perbaikan
Tempat nyaman dan matchanya enak.,1,Positif,"Tempat, Rasa",5.0,perbaikan
Tempat nyaman dan makanan sesuai selera.,1,Positif,"Tempat, Rasa",5.0,perbaikan
Tempat nyaman dan bersih.,1,Positif,Tempat,5.0,perbaikan
"Tempat menarik, matcha berkualitas tapi mahal dan service standar.",1,Positif,"Rasa, Harga, Pelayanan",4.0,perbaikan
Tempat memiliki suasana nyaman dengan minuman matcha berkualitas tinggi dan pelayanan baik.,1,Positif,"Rasa, Tempat, Pelayanan",5.0,perbaikan
Tempat matcha terbaik di Jakarta Selatan dengan rasa tidak terlalu manis namun sangat enak. Hojicha milk menjadi menu favorit. Cocok dipadukan dengan dessert seperti almond croissant. Pelayanan baik dan tempat bersih.,1,Positif,"Rasa, Tempat, Pelayanan",5.0,perbaikan
Tempat ini menawarkan desain yang mewah dan modern.,1,Positif,Tempat,5.0,perbaikan
Tempat ini berfokus pada matcha dengan berbagai pilihan menu.,1,Positif,Rasa,5.0,perbaikan
Tempat favorit.,1,Positif,Umum,5.0,perbaikan
Tempat enak untuk makan dan santai.,1,Positif,Rasa,5.0,perbaikan
Tempat dan suasana sangat baik.,1,Positif,Tempat,5.0,perbaikan
Tempat dan makanan enak.,1,Positif,"Rasa, Tempat",5.0,perbaikan
Tempat cozy dan pelayanan ramah.,1,Positif,"Tempat, Pelayanan",5.0,perbaikan
Tempat cozy dan makanan enak.,1,Positif,Tempat,5.0,perbaikan
Tempat cocok untuk WFA dan menu enak.,1,Positif,"Tempat, Pelayanan",4.0,perbaikan
Tempat cocok untuk pecinta matcha.,1,Positif,Tempat,5.0,perbaikan
Tempat bersih dan nyaman untuk kerja.,1,Positif,"Tempat, Rasa",5.0,perbaikan
Tempat bersih dan menu variatif.,1,Positif,"Tempat, Rasa",5.0,perbaikan
Tempat bagus.,1,Positif,Tempat,5.0,perbaikan
Tempat bagus untuk nongkrong.,1,Positif,Tempat,5.0,perbaikan
Tempat bagus untuk coba matcha.,1,Positif,Tempat,5.0,perbaikan
Tempat bagus dengan rasa yang enak.,1,Positif,"Tempat, Rasa",5.0,perbaikan
Tempat bagus dan nyaman.,1,Positif,Tempat,5.0,perbaikan
Suka matcha milk dan ambience.,1,Positif,"Rasa, Tempat",5.0,perbaikan
"Suka ambience, ingin kembali.",1,Positif,Tempat,5.0,perbaikan
Suasana tempat baik dan terlihat baru.,1,Positif,Tempat,5.0,perbaikan
Suasana dan makanan baik.,1,Positif,"Tempat, Rasa",5.0,perbaikan
"Staf ramah, suasana nyaman, dan matcha sangat enak.",1,Positif,"Pelayanan, Tempat, Rasa",5.0,perbaikan
Staf ramah dan membantu.,1,Positif,Rasa,5.0,perbaikan
Staf ramah dan matcha enak.,1,Positif,"Rasa, Pelayanan",5.0,perbaikan
Spesialis matcha dan dessert.,1,Positif,Rasa,5.0,perbaikan
"Sop iga, teh, kopi, dan es krim enak.",1,Positif,Rasa,5.0,perbaikan
Soft serve matcha sangat baik dan direkomendasikan untuk pecinta matcha. Mac and cheese juga sangat enak.,1,Positif,Rasa,5.0,perbaikan
Soft ice cream enak.,1,Positif,Rasa,5.0,perbaikan
Signature matcha enak.,1,Positif,Rasa,5.0,perbaikan
Signature koicha milk enak dan autentik.,1,Positif,Rasa,5.0,perbaikan
"Signature Koicha enak, rasa matchanya terasa. Es krim matchanya juga enak dan tidak terlalu manis, teksturnya lembut. Mochinya juga lembut. Matcha terbaik.",1,Positif,Rasa,5.0,perbaikan
"Signature koicha enak, matcha milk lebih murah dan tetap enak.",1,Positif,Rasa,5.0,perbaikan
Signature Koicha enak tetapi mahal.,1,Positif,"Rasa, Harga",4.0,perbaikan
Senang dengan banyaknya variasi matcha dan rasanya menyerupai di Jepang.,1,Positif,Rasa,5.0,perbaikan
Semuanya enak dan pelayanan memuaskan.,1,Positif,"Rasa, Pelayanan",5.0,perbaikan
Semuanya baik.,1,Positif,Umum,5.0,perbaikan
Semua minuman dan dessert enak.,1,Positif,Rasa,5.0,perbaikan
"Semua menu terasa enak, mulai dari makanan utama, minuman, hingga kue. Meskipun tempatnya minimalis, tampilannya estetik. Harga juga masih terjangkau. Sangat direkomendasikan dan akan kembali untuk mencoba menu lain.",1,Positif,"Rasa, Tempat, Harga",5.0,perbaikan
Semua menu enak dan autentik.,1,Positif,Rasa,5.0,perbaikan
"Semua matcha enak, staf ramah dan informatif.",1,Positif,"Rasa, Pelayanan",5.0,perbaikan
"Semua makanan enak, tempatnya bagus, dan staf ramah.",1,Positif,"Rasa, Tempat, Pelayanan",5.0,perbaikan
Semua makanan dan minuman enak.,1,Positif,Rasa,5.0,perbaikan
"Semua enak, pelayanan luar biasa.",1,Positif,"Rasa, Pelayanan",5.0,perbaikan
Semua baik termasuk pelayanan cepat dan ramah.,1,Positif,"Pelayanan, Rasa",5.0,perbaikan
"Secara rasa cukup enak, namun beberapa menu tidak tersedia sehingga pilihan terbatas. Beberapa kombinasi rasa kurang seimbang. Secara keseluruhan cukup memuaskan.",1,Positif,Rasa,3.0,perbaikan
"Saya mengunjungi tempat ini karena saya adalah penggemar matcha. Matcha milk-nya terasa sangat enak. Selain itu, saya juga mencoba matcha cheesecake. Rasanya sangat enak, meskipun menurut saya perpaduannya kurang cocok dengan rasa matcha-nya. Namun, rasa keju pada kue tersebut sangat terasa dan lezat. Matcha opera-nya juga enak, tetapi lapisan bagian atasnya terlalu manis sehingga rasanya menjadi kurang seimbang.",1,Positif,Rasa,4.0,perbaikan
"Saya mencoba tiramisu matcha dan sakura ice cream. Rasanya enak namun tidak terlalu istimewa. Menurut saya harganya cukup mahal mengingat potongan kuenya sangat kecil, sehingga pasti akan habis dalam sekejap. Meski demikian, saya tetap berniat untuk mencoba menu lainnya di lain waktu, terutama jika terdapat promo.",1,Positif,"Rasa, Harga",3.0,perbaikan
"Saya mencoba tempat ini karena berasal dari Singapura, dan ternyata kualitasnya cukup baik. Saya mencicipi menu unggulan mereka, yaitu Signature Koicha, dan mengganti susu sapi murni dengan susu gandum seharga Rp120.054. Anda akan mendapatkan es krim berukuran kecil jika memberikan ulasan melalui Google.",1,Positif,"Rasa, Harga",5.0,perbaikan
"Saya memesan signature koicha milk dan houjicha milk. Secara subjektif, menurut saya rasanya masih lebih lezat dibandingkan dengan cabang yang berada di Kelapa Gading dan Grand Indonesia.",1,Positif,Rasa,4.0,perbaikan
"Saya dan pasangan saya menyukai matcha sehingga mencoba tempat ini. Kami memesan es krim matcha, houjicha tiramisu, dan matcha milk. Rasanya enak, sedikit manis dan tidak terlalu pahit. Pelayanannya sangat baik. Tempat ini cocok untuk dikunjungi jika menginginkan sesuatu yang ringan dan menyegarkan. Es krim Hokkaido juga sangat enak.",1,Positif,"Rasa, Pelayanan, Tempat",5.0,perbaikan
Sangat suka.,1,Positif,Umum,5.0,perbaikan
"Sangat suka matchanya, enak dan tidak eneg.",1,Positif,Rasa,5.0,perbaikan
Sangat suka dengan matchanya.,1,Positif,Rasa,5.0,perbaikan
"Sangat nyaman untuk belajar atau hangout, sangat direkomendasikan.",1,Positif,Tempat,5.0,perbaikan
Sangat lezat.,1,Positif,Rasa,5.0,perbaikan
Sangat enak.,1,Positif,Rasa,5.0,perbaikan
"Sangat enak, tidak terlalu manis dan rasanya seimbang.",1,Positif,Rasa,5.0,perbaikan
"Sangat enak, tempat nyaman.",1,Positif,"Rasa, Tempat",5.0,perbaikan
"Sangat enak, rasa matcha tidak hanya didominasi susu. Tempatnya juga baik dan harga masih terjangkau.",1,Positif,"Rasa, Tempat, Harga",5.0,perbaikan
Sangat direkomendasikan.,1,Positif,Umum,5.0,perbaikan
Sangat direkomendasikan untuk pecinta matcha.,1,Positif,Umum,5.0,perbaikan
Sangat baik.,1,Positif,Umum,5.0,perbaikan
Salah satu matcha terbaik.,1,Positif,Rasa,5.0,perbaikan
"Salah satu matcha terbaik, dessert dan minuman sangat enak.",1,Positif,Rasa,5.0,perbaikan
Salah satu matcha terbaik yang pernah saya coba.,1,Positif,Rasa,5.0,perbaikan
"Rasanya seperti matcha. Kasir memiliki pengetahuan tentang matcha. Tempatnya sangat menarik, hijau, dan cozy untuk bersantai.",1,Positif,"Rasa, Pelayanan, Tempat",4.0,perbaikan
Rasanya seimbang dan tidak terlalu manis.,1,Positif,Rasa,5.0,perbaikan
Rasanya enak.,1,Positif,Rasa,5.0,perbaikan
Rasanya enak dan tempatnya nyaman.,1,Positif,"Rasa, Tempat",5.0,perbaikan
Rasanya enak dan pelayanan sangat baik.,1,Positif,"Rasa, Pelayanan",5.0,perbaikan
Rasa minuman unik dan enak.,1,Positif,Rasa,5.0,perbaikan
"Rasa matcha pada hidangan ini sangat kuat. Bagi para pecinta matcha, Anda wajib mencoba pengalaman baru dalam menikmati menu ini. Namun, tekstur kulit croissant-nya kurang memuaskan karena terlalu renyah sehingga sulit untuk disantap dengan rapi. Varian croissant terbaik adalah ham and cheese; rasanya sangat lezat.",1,Positif,Rasa,5.0,perbaikan
Rasa matcha mantap.,1,Positif,Rasa,5.0,perbaikan
"Rasa matcha autentik, tidak terlalu pahit. Suasana nyaman dan estetik. Pelayanan ramah dan cepat. Harga sepadan dengan kualitas premium.",1,Positif,"Rasa, Tempat, Pelayanan, Harga",5.0,perbaikan
"Rasa enak, tempat cozy.",1,Positif,Rasa,5.0,perbaikan
"Rasa enak, staf ramah, banyak variasi.",1,Positif,"Rasa, Pelayanan",5.0,perbaikan
Rasa enak dan direkomendasikan.,1,Positif,Rasa,5.0,perbaikan
Rasa dan ambience bagus.,1,Positif,"Rasa, Tempat",5.0,perbaikan
Rasa autentik seperti luar negeri.,1,Positif,Rasa,5.0,perbaikan
"Pure matcha rasanya enak, kekentalan dan pahitnya pas.",1,Positif,Rasa,5.0,perbaikan
Pure matcha enak dan direkomendasikan.,1,Positif,Rasa,5.0,perbaikan
Puas dengan makanan dan pelayanan.,1,Positif,Rasa,5.0,perbaikan
Pilihan menu menarik.,1,Positif,Rasa,5.0,perbaikan
"Pilihan banyak, pelayanan baik, cake enak.",1,Positif,"Rasa, Pelayanan",5.0,perbaikan
"Pertama kali mencoba, matchanya terasa kuat dan cukup segar.",1,Positif,"Tempat, Rasa",5.0,perbaikan
Pertama kali mencoba dan matchanya sangat enak.,1,Positif,Rasa,5.0,perbaikan
"Pertama kali datang ke sini mencoba cheesecake matcha, rasanya sangat enak dan membuat ingin kembali. Kopinya juga enak, saya mencoba hot latte. Saya merekomendasikan tempat ini untuk berkumpul.",1,Positif,"Rasa, Tempat",5.0,perbaikan
Pengalaman menyenangkan.,1,Positif,Pelayanan,5.0,perbaikan
Pelayanannya sangat memuaskan.,1,Positif,Pelayanan,5.0,perbaikan
Pelayanannya bagus dan sangat direkomendasikan.,1,Positif,Pelayanan,5.0,perbaikan
Pelayanan sangat ramah.,1,Positif,Pelayanan,5.0,perbaikan
Pelayanan sangat ramah dan informatif.,1,Positif,Pelayanan,5.0,perbaikan
Pelayanan sangat baik.,1,Positif,Pelayanan,5.0,perbaikan
Pelayanan sangat baik dan tempat nyaman.,1,Positif,"Pelayanan, Tempat",5.0,perbaikan
Pelayanan sangat baik dan ramah. Pilihan menu matcha sangat beragam dengan kualitas premium. Akan kembali lagi.,1,Positif,"Pelayanan, Rasa",5.0,perbaikan
Pelayanan sangat baik dan memuaskan.,1,Positif,Pelayanan,5.0,perbaikan
"Pelayanan ramah, tempat nyaman, matcha enak.",1,Positif,"Pelayanan, Rasa, Tempat",5.0,perbaikan
"Pelayanan ramah, tempat bersih.",1,Positif,"Pelayanan, Tempat",5.0,perbaikan
"Pelayanan ramah, cepat, dan matcha enak dengan harga sepadan.",1,Positif,"Pelayanan, Rasa, Harga",5.0,perbaikan
Pelayanan profesional dan ambience baik.,1,Positif,"Pelayanan, Tempat",5.0,perbaikan
Pelayanan membantu dan informatif.,1,Positif,Pelayanan,5.0,perbaikan
Pelayanan lambat karena kekurangan staf dan harga cukup mahal.,1,Positif,"Pelayanan, Harga",3.0,perbaikan
Pelayanan cepat dan rasa enak.,1,Positif,Rasa,5.0,perbaikan
"Pelayanan baik, matcha enak.",1,Positif,"Pelayanan, Rasa",5.0,perbaikan
"Pelayanan baik, cake dan matcha enak.",1,Positif,"Pelayanan, Rasa",5.0,perbaikan
Pelayanan baik dan rasa enak.,1,Positif,"Pelayanan, Rasa",5.0,perbaikan
Pelayanan baik dan pengalaman menarik.,1,Positif,"Pelayanan, Tempat",5.0,perbaikan
Pelayanan baik dan matcha enak.,1,Positif,"Pelayanan, Rasa",5.0,perbaikan
"Pelayanan bagus, rasa matcha pas, dan tempat nyaman.",1,Positif,"Rasa, Pelayanan, Tempat",5.0,perbaikan
"Pelayanan bagus, ramah, dan informatif. Harga masih wajar dan rasa beragam serta enak.",1,Positif,"Pelayanan, Harga, Rasa",5.0,perbaikan
Pecinta matcha wajib mencoba karena rasa matchanya sangat terasa.,1,Positif,Rasa,5.0,perbaikan
Pecinta matcha akan sangat menyukai menu di sini karena semuanya enak dan tidak ada yang mengecewakan.,1,Positif,Rasa,5.0,perbaikan
"Minuman enak, tetapi outdoor perlu pendingin.",1,Positif,"Rasa, Tempat",5.0,perbaikan
"Minuman enak, ingin kembali.",1,Positif,Rasa,5.0,perbaikan
Minuman dan pelayanan sangat baik.,1,Positif,"Rasa, Pelayanan",5.0,perbaikan
Minuman dan dessert enak.,1,Positif,Rasa,5.0,perbaikan
Menyukai matcha dan croissant. Nasi kecombrang juga sangat enak dan disukai keluarga.,1,Positif,"Rasa, Tempat",5.0,perbaikan
Menu matcha enak tapi beberapa terlalu manis.,1,Positif,Rasa,4.0,perbaikan
"Memesan ice koicha, rasanya enak dan tingkat pahitnya sesuai. Mendapatkan es krim gratis dan pelayan juga perhatian.",1,Positif,"Rasa, Pelayanan",5.0,perbaikan
Matchanya yang terbaik.,1,Positif,Rasa,5.0,perbaikan
Matchanya selalu enak dengan tiga grade pilihan. Tempat di Gandaria City cukup luas dan bisa melihat proses pembuatan.,1,Positif,"Rasa, Tempat",5.0,perbaikan
Matchanya sangat enak dan umami.,1,Positif,Rasa,5.0,perbaikan
Matchanya sangat enak dan tempatnya nyaman.,1,Positif,"Rasa, Tempat",5.0,perbaikan
Matchanya sangat enak dan autentik.,1,Positif,Rasa,5.0,perbaikan
Matchanya pure dengan banyak pilihan menu termasuk makanan. Tempat duduk banyak dan tersedia colokan.,1,Positif,"Rasa, Tempat",5.0,perbaikan
Matchanya premium dan variannya banyak.,1,Positif,Rasa,5.0,perbaikan
Matchanya enak.,1,Positif,Rasa,5.0,perbaikan
"Matchanya enak, strawberry asli, tempat nyaman dan pelayanan informatif.",1,Positif,"Rasa, Tempat, Pelayanan",5.0,perbaikan
"Matchanya enak, balance antara pahit, earthy, dan umami.",1,Positif,Rasa,5.0,perbaikan
Matchanya enak dan tidak terlalu pahit.,1,Positif,Rasa,5.0,perbaikan
Matchanya enak dan tempatnya nyaman.,1,Positif,"Rasa, Tempat",5.0,perbaikan
Matchanya autentik dan tempatnya nyaman.,1,Positif,"Rasa, Tempat",5.0,perbaikan
Matcha variatif dan pelayanan baik.,1,Positif,"Rasa, Pelayanan",5.0,perbaikan
Matcha terlihat menarik.,1,Positif,Rasa,5.0,perbaikan
Matcha terbaik.,1,Positif,Rasa,5.0,perbaikan
Matcha terbaik di kota.,1,Positif,Rasa,5.0,perbaikan
"Matcha terbaik di kota, sering dikunjungi untuk meningkatkan suasana hati dan tidak pernah membosankan.",1,Positif,Rasa,5.0,perbaikan
Matcha terbaik di kota ini.,1,Positif,Rasa,5.0,perbaikan
"Matcha strong, cocok untuk pecinta matcha.",1,Positif,Rasa,5.0,perbaikan
Matcha spesial di Gandaria City.,1,Positif,Rasa,5.0,perbaikan
Matcha spesial dan varian banyak.,1,Positif,Rasa,5.0,perbaikan
"Matcha soft serve enak, pancake kurang.",1,Positif,Rasa,4.0,perbaikan
Matcha sangat enak.,1,Positif,Rasa,5.0,perbaikan
"Matcha sangat enak, harga masih sepadan, direkomendasikan.",1,Positif,"Rasa, Harga",5.0,perbaikan
Matcha sangat enak dengan rasa yang luar biasa. Es krim matcha sangat disukai dan opera cake juga lezat.,1,Positif,Rasa,5.0,perbaikan
"Matcha premium, mahal tetapi layak dicoba.",1,Positif,"Rasa, Harga",5.0,perbaikan
Matcha premium dan enak.,1,Positif,Rasa,5.0,perbaikan
Matcha paling worth it di Jakarta.,1,Positif,"Rasa, Harga",5.0,perbaikan
"Matcha milk, mochi, ice cream enak.",1,Positif,Rasa,5.0,perbaikan
Matcha milk rich dan pas.,1,Positif,Rasa,5.0,perbaikan
"Matcha milk kurang, ice cream lebih enak, harga mahal.",1,Positif,"Rasa, Harga",4.0,perbaikan
Matcha milk favorit.,1,Positif,Rasa,5.0,perbaikan
"Matcha milk enak, tetapi penjelasan staf kurang detail.",1,Positif,Pelayanan,4.0,perbaikan
Matcha milk enak dan tidak terlalu manis.,1,Positif,Rasa,5.0,perbaikan
"Matcha milk dan soft serve enak, tempat nyaman, namun pelayanan perlu ditingkatkan saat ramai.",1,Positif,"Rasa, Tempat, Pelayanan",5.0,perbaikan
"Matcha milk dan makanan enak, namun chicken wings perlu peningkatan rasa. Pelayanan ramah dan suasana nyaman.",1,Positif,"Rasa, Pelayanan, Tempat",5.0,perbaikan
"Matcha milk dan klepon sangat enak, nasi goreng dan beef short ribs juga disukai.",1,Positif,Rasa,5.0,perbaikan
"Matcha memiliki rasa autentik, namun saya lebih menyukai tingkat gula rendah karena varian normal terlalu manis. Secara keseluruhan pengalaman yang baik.",1,Positif,Rasa,5.0,perbaikan
Matcha mantap.,1,Positif,Rasa,5.0,perbaikan
Matcha latte yang disajikan sangat enak. Tersedia pula pilihan tanpa gula.,1,Positif,Rasa,3.0,perbaikan
"Matcha latte yang disajikan cukup baik, setara dengan yang ada di Singapura, dan kita benar-benar dapat merasakan cita rasa gurih (umami) yang pekat di dalamnya. Anda patut mencoba matcha latte mereka.",1,Positif,Rasa,3.0,perbaikan
"Matcha latte terasa sedikit hambar, lebih baik menggunakan tingkat gula normal.",1,Positif,Rasa,4.0,perbaikan
"Matcha latte tanpa gula sangat pahit, tetapi enak jika sesuai selera.",1,Positif,Rasa,4.0,perbaikan
"Matcha kuat dan umami, tempat luas dan cocok untuk hangout, tetapi pelayanan bisa lebih cepat.",1,Positif,"Rasa, Tempat, Pelayanan",4.0,perbaikan
Matcha kuat dan tempat nyaman.,1,Positif,"Rasa, Tempat",5.0,perbaikan
Matcha favorit.,1,Positif,Rasa,5.0,perbaikan
Matcha enak.,1,Positif,Rasa,5.0,perbaikan
"Matcha enak, tetapi beberapa menu terlalu manis.",1,Positif,Rasa,5.0,perbaikan
"Matcha enak, tempat nyaman, pelayanan baik.",1,Positif,"Rasa, Tempat, Pelayanan",5.0,perbaikan
Matcha enak dengan pahit yang pas.,1,Positif,Rasa,5.0,perbaikan
Matcha enak dan terasa kuat.,1,Positif,Rasa,3.0,perbaikan
Matcha enak dan tempatnya bagus.,1,Positif,"Rasa, Tempat",5.0,perbaikan
Matcha enak dan tempat nyaman.,1,Positif,"Rasa, Tempat",5.0,perbaikan
Matcha enak dan tempat cozy.,1,Positif,"Rasa, Tempat",5.0,perbaikan
